clean_text,label
ha he ain t welcome in washington state or nashville serpas is straight trash,0
on top of that she just a pregnant ass sorry hoe aint never got no money even her water broke,1
self low down black bitch,1
i pissed alotta ppl off on fb i was flooding the newsfeed next target them hoe ass texans,1
rt bushco used to publicly trash ex officials who wrote books snow o neill etc bet we won t hear pbo trashing gates,0
rt who s to blame for the yankees underperformance this year the umps management the ebola outbreak how bout the player,0
you gunna let that bitch do you like that,1
if i were to die and be resurrected as an animal id be a howler monkey,0
i drag a bitch by her hair captain caveman nnn,1
dis bitch got these flintstone sandals,1
i ignore birds,0
man kills mother of after she reveals she s hiv positive after having sex that bitch deserved it,1
surprise surprise tsa trashes brandon darby s border patrol sources,0
well is he gonna take da bitch or naw,1
why do peeps gotta be mad ghetto nowadays smh pull up your pants,0
rt fuck no id be gettin swole in there like everyday nigger,1
typical hitchens type atheist and was watching a doc on how hollywood hates god ready to mock it,0
me or nat def not me with that shiner,0
rt sometimes i turn my phone on loud to tweet just to hear the bird chirp,0
joshua every place that the sole of your foot shall tread upon that have i given unto you as i said unto moses,0
lou is such a lil bitch,1
cowboy killers,0
morphing into charlie weis will never cease to be disturbing,0
lets not forget the fact that everyone and their mother has yellow fever,0
why because i am having to root for the royals in october,0
statement of the day ppl who rt are even dumber than he is the ole birds of a feather type of deal,0
rt too many bitches strictly rely on their looks can t bring nothing to the table but likes and an iphone,1
screw the little porch monkey,1
peace my friend only peace i am not your enemy dont say that word again look at my facebook wall one of my best friends ever was a moor,0
yes now get off twitter you lame negros should have never learned how to use the internet,1
i only fuck with bad bitches i m stiff,1
yep lmao its been a hectic few weeks waddup ho,1
rt any bitch that tell you i normally don t do this get ready for the best head pussy you ve ever got,1
rt so glad charlie agrees with carol and cnn that assaulting girls is ok,0
how the hell was david murphy s hit not a home run clearly over the yellow line another umpire mess up smh,0
rt let me make this clear i don t need no fucking body i don t need none of you whack ass hoes too be friend,1
rt i want a real relationship no games no lies no side hoes just me and you,1
rt and for the record i think dan snyder is a cunt the hypocrisy of the nfl is just embarrassing at this point,1
lets just say hellen keller makes better brownies,0
nah electric fairy tale seems cool but i d rather buy some drugs with that money,0
rt praying today s m amp g pictures don t come out yellow,0
humans are evil man cutting tusks of these beautiful animals so chinks think the get a hard on,1
god bless you whitey i be sleepin in tomorrow,0
naw i m trash keep ya pity hugs,0
rt but then again i aint never worried bout no bitch nor nigga,1
i hear the birds in the summer breeze i drive fast i am alone at midnight,0
bye ugly hoe please do something about that nasty horse hair weave,1
horny called me asking her to buy her a drink this morning and then this jiggaboo walks in with a sonic drink in her hand,0
this ma niggah,1
would you rather be a monkey or a gorilla neither they re both hairy but if i had to choose a monkey they,0
this target is ghetto but whatever,0
panda express is so trash but i wanted chinese and didn t feel like gettin out the car,0
wanted me to let everyone know he downloaded the whole acoustic justin bieber album,1
rt apr th released the album kill fuck die,1
it s funny how females don t want to be called a bitch but if you put the word bad in front of it then they re happy af,1
the song about pollo hermanos and heisenberg,0
rt smoking isnt a game you could get killed monkey see monkey dooo don t smoke if your not a smoker y all are the reason,0
i keep running under trees or when birds fly to avoid their erm being targeted by their lack of a digestive system,0
